Materias,Notas
animacion 3D III,8.6
trabajo en equipo,9.8
escultura digital,8.9
videocomposicion 2,8.6
legislacion y costos,9.4
interactividad ii,9.7
publicidad y marketing,8.8
marketing personal,8.3
